country,country_code_3_digit,country_code_2_digit,population,confirmed cases_counts,deaths_counts,source,reported_date
Luxembourg,LUX,LU,613894,0,0,"Epidemic intelligence, national daily data",2020-02-16
Moldova,MDA,MD,4033963,159,7,"Epidemic intelligence, national daily data",2020-05-13
Serbia,SRB,RS,6963764,83,1,"Epidemic intelligence, national daily data",2020-08-31
Latvia,LVA,LV,1919968,10,0,"Epidemic intelligence, national daily data",2020-03-19
France,FRA,FR,67012883,45422,137,"Epidemic intelligence, national daily data",2020-10-25
Bosnia and Herzegovina,BIH,BA,3280815,0,0,"Epidemic intelligence, national daily data",2020-02-06
Latvia,LVA,LV,1919968,109,0,"Epidemic intelligence, national daily data",2020-10-09
North Macedonia,MKD,MK,2077132,189,3,"Epidemic intelligence, national daily data",2020-08-15
Hungary,HUN,HU,9772756,7,3,"Epidemic intelligence, national daily data",2020-06-25
Andorra,AND,AD,76177,8,0,"Epidemic intelligence, national daily data",2020-07-26
Belgium,BEL,BE,11455519,0,0,"Epidemic intelligence, national daily data",2020-02-12
Spain,ESP,ES,46937060,54,0,"Epidemic intelligence, national daily data",2020-03-02
Ireland,IRL,IE,4904240,998,3,"Epidemic intelligence, national daily data",2020-10-17
France,FRA,FR,67012883,4586,23,"Epidemic intelligence, national daily data",2020-08-22
Armenia,ARM,AM,2963234,736,6,"Epidemic intelligence, national daily data",2020-06-28
Austria,AUT,AT,8858775,44,0,"Epidemic intelligence, national daily data",2020-05-31
Austria,AUT,AT,8858775,821,5,"Epidemic intelligence, national daily data",2020-09-19
Belgium,BEL,BE,11455519,115,3,"Epidemic intelligence, national daily data",2020-08-24
Austria,AUT,AT,8858775,0,0,"Epidemic intelligence, national daily data",2020-02-14
Georgia,GEO,GE,3989175,0,0,"Epidemic intelligence, national daily data",2020-07-20
Bulgaria,BGR,BG,7000039,0,0,"Epidemic intelligence, national daily data",2020-01-27
Gibraltar,GIB,GI,33691,0,0,"Epidemic intelligence, national daily data",2020-05-11
Monaco,MCO,MC,33085,1,0,"Epidemic intelligence, national daily data",2020-03-31
Netherlands,NLD,NL,17282163,0,0,"Epidemic intelligence, national daily data",2020-02-21
Sweden,SWE,SE,10230185,0,0,"Epidemic intelligence, national daily data",2020-02-23
Monaco,MCO,MC,33085,1,0,"Epidemic intelligence, national daily data",2020-08-27
Iceland,ISL,IS,356991,46,0,"Epidemic intelligence, national daily data",2020-10-20
Turkey,TUR,TR,82003882,926,18,"Epidemic intelligence, national daily data",2020-07-18
Denmark,DNK,DK,5806081,12,0,"Epidemic intelligence, national daily data",2020-07-09
Serbia,SRB,RS,6963764,254,6,"Epidemic intelligence, national daily data",2020-08-13
Belarus,BLR,BY,9449321,0,0,"Epidemic intelligence, national daily data",2020-01-06
Norway,NOR,NO,5328212,0,0,"Epidemic intelligence, national daily data",2020-05-22
Czechia,CZE,CZ,10649800,54,0,"Epidemic intelligence, national daily data",2020-06-10
Norway,NOR,NO,5328212,1,0,"Epidemic intelligence, national daily data",2020-02-27
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-04-24
Hungary,HUN,HU,9772756,1285,28,"Epidemic intelligence, national daily data",2020-10-13
Montenegro,MNE,ME,622182,219,2,"Epidemic intelligence, national daily data",2020-09-10
Albania,ALB,AL,2862427,0,0,"Epidemic intelligence, national daily data",2020-01-11
Isle of Man,,,85032,0,0,"Epidemic intelligence, national daily data",2020-06-06
Romania,ROU,RO,19414458,0,0,"Epidemic intelligence, national daily data",2020-02-16
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-05-29
Croatia,HRV,HR,4076246,165,6,"Epidemic intelligence, national daily data",2020-09-14
Serbia,SRB,RS,6963764,238,5,"Epidemic intelligence, national daily data",2020-04-11
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-09-17
Malta,MLT,MT,493559,53,1,"Epidemic intelligence, national daily data",2020-09-15
Gibraltar,GIB,GI,33691,0,0,"Epidemic intelligence, national daily data",2020-02-20
Liechtenstein,LIE,LI,38378,0,0,"Epidemic intelligence, national daily data",2020-06-21
Turkey,TUR,TR,82003882,2148,63,"Epidemic intelligence, national daily data",2020-04-02
Estonia,EST,EE,1324820,0,0,"Epidemic intelligence, national daily data",2020-01-09
Russia,RUS,RU,145934460,0,0,"Epidemic intelligence, national daily data",2020-02-10
Czechia,CZE,CZ,10649800,3,0,"Epidemic intelligence, national daily data",2020-03-05
Belgium,BEL,BE,11455519,0,0,"Epidemic intelligence, national daily data",2020-02-27
San Marino,SMR,SM,34453,0,0,"Epidemic intelligence, national daily data",2020-10-19
Liechtenstein,LIE,LI,38378,1,0,"Epidemic intelligence, national daily data",2020-04-19
Turkey,TUR,TR,82003882,289,9,"Epidemic intelligence, national daily data",2020-03-23
Armenia,ARM,AM,2963234,295,2,"Epidemic intelligence, national daily data",2020-09-18
France,FRA,FR,67012883,8550,12,"Epidemic intelligence, national daily data",2020-09-06
Luxembourg,LUX,LU,613894,2,0,"Epidemic intelligence, national daily data",2020-03-09
Cyprus,CYP,CY,875899,0,0,"Epidemic intelligence, national daily data",2020-01-04
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-09-14
Sweden,SWE,SE,10230185,601,80,"Epidemic intelligence, national daily data",2020-04-04
Monaco,MCO,MC,33085,1,0,"Epidemic intelligence, national daily data",2020-10-02
Bosnia and Herzegovina,BIH,BA,3280815,0,0,"Epidemic intelligence, national daily data",2020-02-20
Latvia,LVA,LV,1919968,6,0,"Epidemic intelligence, national daily data",2020-08-08
Russia,RUS,RU,145934460,0,0,"Epidemic intelligence, national daily data",2020-03-06
Azerbaijan,AZE,AZ,10139175,2,0,"Epidemic intelligence, national daily data",2020-03-02
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-08-31
Bosnia and Herzegovina,BIH,BA,3280815,0,0,"Epidemic intelligence, national daily data",2020-01-05
Bosnia and Herzegovina,BIH,BA,3280815,43,8,"Epidemic intelligence, national daily data",2020-05-09
Slovenia,SVN,SI,2080908,7,0,"Epidemic intelligence, national daily data",2020-06-25
Jersey,JEY,JE,107796,0,0,"Epidemic intelligence, national daily data",2020-09-16
Liechtenstein,LIE,LI,38378,0,0,"Epidemic intelligence, national daily data",2020-07-05
Switzerland,CHE,CH,8544527,487,2,"Epidemic intelligence, national daily data",2020-09-19
Isle of Man,,,85032,0,0,"Epidemic intelligence, national daily data",2020-02-10
Moldova,MDA,MD,4033963,0,0,"Epidemic intelligence, national daily data",2020-01-12
Iceland,ISL,IS,356991,0,0,"Epidemic intelligence, national daily data",2020-02-03
Liechtenstein,LIE,LI,38378,0,0,"Epidemic intelligence, national daily data",2020-04-30
Denmark,DNK,DK,5806081,0,0,"Epidemic intelligence, national daily data",2020-08-03
San Marino,SMR,SM,34453,0,0,"Epidemic intelligence, national daily data",2020-09-08
San Marino,SMR,SM,34453,5,0,"Epidemic intelligence, national daily data",2020-10-01
Bulgaria,BGR,BG,7000039,66,3,"Epidemic intelligence, national daily data",2020-06-29
North Macedonia,MKD,MK,2077132,0,0,"Epidemic intelligence, national daily data",2020-02-15
Slovenia,SVN,SI,2080908,16,0,"Epidemic intelligence, national daily data",2020-07-27
United Kingdom,GBR,UK,66647112,0,0,"Epidemic intelligence, national daily data",2020-01-20
Albania,ALB,AL,2862427,0,0,"Epidemic intelligence, national daily data",2020-01-31
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-10-11
Finland,FIN,FI,5517919,1,0,"Epidemic intelligence, national daily data",2020-02-27
Serbia,SRB,RS,6963764,411,8,"Epidemic intelligence, national daily data",2020-07-26
Iceland,ISL,IS,356991,10,0,"Epidemic intelligence, national daily data",2020-03-04
Serbia,SRB,RS,6963764,0,0,"Epidemic intelligence, national daily data",2020-02-16
Hungary,HUN,HU,9772756,55,6,"Epidemic intelligence, national daily data",2020-04-04
Gibraltar,GIB,GI,33691,0,0,"Epidemic intelligence, national daily data",2020-02-25
Hungary,HUN,HU,9772756,60,1,"Epidemic intelligence, national daily data",2020-04-02
Finland,FIN,FI,5517919,64,1,"Epidemic intelligence, national daily data",2020-05-28
Bulgaria,BGR,BG,7000039,53,2,"Epidemic intelligence, national daily data",2020-04-17
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-06-22
Jersey,JEY,JE,107796,0,0,"Epidemic intelligence, national daily data",2020-02-09
Azerbaijan,AZE,AZ,10139175,590,7,"Epidemic intelligence, national daily data",2020-06-25
Azerbaijan,AZE,AZ,10139175,161,2,"Epidemic intelligence, national daily data",2020-09-06
Germany,DEU,DE,83019213,301,22,"Epidemic intelligence, national daily data",2020-06-07
Gibraltar,GIB,GI,33691,3,0,"Epidemic intelligence, national daily data",2020-09-14
Estonia,EST,EE,1324820,0,0,"Epidemic intelligence, national daily data",2020-07-02
Austria,AUT,AT,8858775,495,1,"Epidemic intelligence, national daily data",2020-09-09
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-06-08
Armenia,ARM,AM,2963234,1694,14,"Epidemic intelligence, national daily data",2020-10-19
Iceland,ISL,IS,356991,1,0,"Epidemic intelligence, national daily data",2020-06-20
Denmark,DNK,DK,5806081,194,15,"Epidemic intelligence, national daily data",2020-04-18
Poland,POL,PL,37972812,392,14,"Epidemic intelligence, national daily data",2020-04-03
Guernsey,GGY,GG,64468,0,1,"Epidemic intelligence, national daily data",2020-04-26
Hungary,HUN,HU,9772756,11,0,"Epidemic intelligence, national daily data",2020-03-17
Czechia,CZE,CZ,10649800,0,0,"Epidemic intelligence, national daily data",2020-01-19
Finland,FIN,FI,5517919,45,2,"Epidemic intelligence, national daily data",2020-04-06
Portugal,PRT,PT,10276617,336,1,"Epidemic intelligence, national daily data",2020-06-18
Kosovo,,,1798506,14,0,"Epidemic intelligence, national daily data",2020-05-11
Lithuania,LTU,LT,2794184,62,0,"Epidemic intelligence, national daily data",2020-09-18
Bosnia and Herzegovina,BIH,BA,3280815,231,0,"Epidemic intelligence, national daily data",2020-09-27
United Kingdom,GBR,UK,66647112,3473,320,"Epidemic intelligence, national daily data",2020-04-28
Lithuania,LTU,LT,2794184,111,0,"Epidemic intelligence, national daily data",2020-09-27
Netherlands,NLD,NL,17282163,165,3,"Epidemic intelligence, national daily data",2020-06-09
Latvia,LVA,LV,1919968,2,0,"Epidemic intelligence, national daily data",2020-03-12
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-09-28
Liechtenstein,LIE,LI,38378,4,0,"Epidemic intelligence, national daily data",2020-08-27
Liechtenstein,LIE,LI,38378,0,0,"Epidemic intelligence, national daily data",2020-08-15
Norway,NOR,NO,5328212,116,0,"Epidemic intelligence, national daily data",2020-09-17
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-10-19
Bosnia and Herzegovina,BIH,BA,3280815,172,2,"Epidemic intelligence, national daily data",2020-07-04
Ukraine,UKR,UA,43733759,206,7,"Epidemic intelligence, national daily data",2020-04-09
Spain,ESP,ES,46937060,0,0,"Epidemic intelligence, national daily data",2020-01-26
Malta,MLT,MT,493559,2,0,"Epidemic intelligence, national daily data",2020-06-16
San Marino,SMR,SM,34453,0,0,"Epidemic intelligence, national daily data",2020-10-03
Albania,ALB,AL,2862427,13,0,"Epidemic intelligence, national daily data",2020-03-23
Iceland,ISL,IS,356991,0,0,"Epidemic intelligence, national daily data",2020-01-18
Sweden,SWE,SE,10230185,707,62,"Epidemic intelligence, national daily data",2020-04-22
Hungary,HUN,HU,9772756,633,8,"Epidemic intelligence, national daily data",2020-09-22
Austria,AUT,AT,8858775,31,1,"Epidemic intelligence, national daily data",2020-06-04
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-01-26
Ukraine,UKR,UA,43733759,0,0,"Epidemic intelligence, national daily data",2020-02-11
Estonia,EST,EE,1324820,10,0,"Epidemic intelligence, national daily data",2020-08-31
Bulgaria,BGR,BG,7000039,0,0,"Epidemic intelligence, national daily data",2020-03-07
Slovenia,SVN,SI,2080908,746,5,"Epidemic intelligence, national daily data",2020-10-16
Belarus,BLR,BY,9449321,0,0,"Epidemic intelligence, national daily data",2020-03-09
Cyprus,CYP,CY,875899,17,0,"Epidemic intelligence, national daily data",2020-03-29
Belarus,BLR,BY,9449321,193,6,"Epidemic intelligence, national daily data",2020-09-12
Sweden,SWE,SE,10230185,59,0,"Epidemic intelligence, national daily data",2020-03-07
Azerbaijan,AZE,AZ,10139175,0,0,"Epidemic intelligence, national daily data",2020-02-28
Lithuania,LTU,LT,2794184,0,0,"Epidemic intelligence, national daily data",2020-03-01
Austria,AUT,AT,8858775,529,18,"Epidemic intelligence, national daily data",2020-04-02
Poland,POL,PL,37972812,0,0,"Epidemic intelligence, national daily data",2020-02-15
Ukraine,UKR,UA,43733759,15,0,"Epidemic intelligence, national daily data",2020-03-22
Jersey,JEY,JE,107796,0,0,"Epidemic intelligence, national daily data",2020-09-28
Denmark,DNK,DK,5806081,37,0,"Epidemic intelligence, national daily data",2020-06-04
North Macedonia,MKD,MK,2077132,0,0,"Epidemic intelligence, national daily data",2020-01-26
Montenegro,MNE,ME,622182,609,7,"Epidemic intelligence, national daily data",2020-10-17
Faroes,,,48865,4,0,"Epidemic intelligence, national daily data",2020-04-02
Gibraltar,GIB,GI,33691,1,0,"Epidemic intelligence, national daily data",2020-07-29
Gibraltar,GIB,GI,33691,1,0,"Epidemic intelligence, national daily data",2020-09-11
United Kingdom,GBR,UK,66647112,51,1,"Epidemic intelligence, national daily data",2020-03-07
Netherlands,NLD,NL,17282163,106,1,"Epidemic intelligence, national daily data",2020-07-16
Hungary,HUN,HU,9772756,28,5,"Epidemic intelligence, national daily data",2020-05-13
Kosovo,,,1798506,4,0,"Epidemic intelligence, national daily data",2020-05-07
Poland,POL,PL,37972812,61,1,"Epidemic intelligence, national daily data",2020-03-18
Finland,FIN,FI,5517919,58,0,"Epidemic intelligence, national daily data",2020-09-21
Gibraltar,GIB,GI,33691,0,0,"Epidemic intelligence, national daily data",2020-01-17
Belarus,BLR,BY,9449321,437,5,"Epidemic intelligence, national daily data",2020-06-26
Switzerland,CHE,CH,8544527,0,0,"Epidemic intelligence, national daily data",2020-02-17
Iceland,ISL,IS,356991,4,0,"Epidemic intelligence, national daily data",2020-08-14
Moldova,MDA,MD,4033963,147,9,"Epidemic intelligence, national daily data",2020-05-15
Liechtenstein,LIE,LI,38378,1,0,"Epidemic intelligence, national daily data",2020-08-13
Slovenia,SVN,SI,2080908,0,0,"Epidemic intelligence, national daily data",2020-01-19
Isle of Man,,,85032,0,0,"Epidemic intelligence, national daily data",2020-01-08
Albania,ALB,AL,2862427,0,0,"Epidemic intelligence, national daily data",2020-01-07
Portugal,PRT,PT,10276617,643,32,"Epidemic intelligence, national daily data",2020-04-16
Georgia,GEO,GE,3989175,22,0,"Epidemic intelligence, national daily data",2020-04-18
Ukraine,UKR,UA,43733759,0,0,"Epidemic intelligence, national daily data",2020-02-21
France,FRA,FR,67012883,0,0,"Epidemic intelligence, national daily data",2020-07-15
Kosovo,,,1798506,2,0,"Epidemic intelligence, national daily data",2020-03-25
Armenia,ARM,AM,2963234,672,5,"Epidemic intelligence, national daily data",2020-10-08
Ireland,IRL,IE,4904240,211,0,"Epidemic intelligence, national daily data",2020-09-12
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-08-15
Belarus,BLR,BY,9449321,489,5,"Epidemic intelligence, national daily data",2020-10-10
Luxembourg,LUX,LU,613894,54,0,"Epidemic intelligence, national daily data",2020-09-08
Monaco,MCO,MC,33085,0,0,"Epidemic intelligence, national daily data",2020-07-01
Bosnia and Herzegovina,BIH,BA,3280815,286,5,"Epidemic intelligence, national daily data",2020-09-11
Greece,GRC,EL,10724599,0,0,"Epidemic intelligence, national daily data",2020-01-31
Portugal,PRT,PT,10276617,382,9,"Epidemic intelligence, national daily data",2020-06-07
Belgium,BEL,BE,11455519,214,6,"Epidemic intelligence, national daily data",2020-03-16
Bosnia and Herzegovina,BIH,BA,3280815,0,0,"Epidemic intelligence, national daily data",2020-01-18
United Kingdom,GBR,UK,66647112,3579,657,"Epidemic intelligence, national daily data",2020-04-13
Italy,ITA,IT,60359546,3370,437,"Epidemic intelligence, national daily data",2020-04-23
Albania,ALB,AL,2862427,7,0,"Epidemic intelligence, national daily data",2020-04-11
Guernsey,GGY,GG,64468,18,0,"Epidemic intelligence, national daily data",2020-04-02
Moldova,MDA,MD,4033963,91,3,"Epidemic intelligence, national daily data",2020-04-08
Albania,ALB,AL,2862427,102,4,"Epidemic intelligence, national daily data",2020-07-19
Belgium,BEL,BE,11455519,569,110,"Epidemic intelligence, national daily data",2020-04-29
Greece,GRC,EL,10724599,186,1,"Epidemic intelligence, national daily data",2020-09-06
United Kingdom,GBR,UK,66647112,2157,217,"Epidemic intelligence, national daily data",2020-05-11
Slovenia,SVN,SI,2080908,6,1,"Epidemic intelligence, national daily data",2020-05-05
Lithuania,LTU,LT,2794184,0,0,"Epidemic intelligence, national daily data",2020-03-06
Portugal,PRT,PT,10276617,204,8,"Epidemic intelligence, national daily data",2020-08-01
Armenia,ARM,AM,2963234,439,16,"Epidemic intelligence, national daily data",2020-07-22
Turkey,TUR,TR,82003882,4062,107,"Epidemic intelligence, national daily data",2020-04-15
Belarus,BLR,BY,9449321,306,6,"Epidemic intelligence, national daily data",2020-07-02
Iceland,ISL,IS,356991,0,0,"Epidemic intelligence, national daily data",2020-01-29
Slovenia,SVN,SI,2080908,0,1,"Epidemic intelligence, national daily data",2020-05-18
Austria,AUT,AT,8858775,17,6,"Epidemic intelligence, national daily data",2020-05-06
United Kingdom,GBR,UK,66647112,3052,328,"Epidemic intelligence, national daily data",2020-05-21
Germany,DEU,DE,83019213,1415,6,"Epidemic intelligence, national daily data",2020-08-15
Kosovo,,,1798506,0,0,"Epidemic intelligence, national daily data",2020-02-22
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-02-11
Armenia,ARM,AM,2963234,489,13,"Epidemic intelligence, national daily data",2020-07-11
Sweden,SWE,SE,10230185,280,38,"Epidemic intelligence, national daily data",2020-03-30
Liechtenstein,LIE,LI,38378,0,0,"Epidemic intelligence, national daily data",2020-08-29
Slovakia,SVK,SK,5450421,30,0,"Epidemic intelligence, national daily data",2020-08-10
Montenegro,MNE,ME,622182,0,0,"Epidemic intelligence, national daily data",2020-01-20
Ukraine,UKR,UA,43733759,810,21,"Epidemic intelligence, national daily data",2020-07-10
Luxembourg,LUX,LU,613894,61,0,"Epidemic intelligence, national daily data",2020-07-08
Bulgaria,BGR,BG,7000039,201,7,"Epidemic intelligence, national daily data",2020-09-12
Gibraltar,GIB,GI,33691,1,0,"Epidemic intelligence, national daily data",2020-03-29
Slovenia,SVN,SI,2080908,0,0,"Epidemic intelligence, national daily data",2020-01-28
Georgia,GEO,GE,3989175,549,4,"Epidemic intelligence, national daily data",2020-10-07
Estonia,EST,EE,1324820,26,0,"Epidemic intelligence, national daily data",2020-03-24
Monaco,MCO,MC,33085,0,0,"Epidemic intelligence, national daily data",2020-05-01
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-07-07
Georgia,GEO,GE,3989175,5,0,"Epidemic intelligence, national daily data",2020-08-13
Ireland,IRL,IE,4904240,37,0,"Epidemic intelligence, national daily data",2020-07-29
Portugal,PRT,PT,10276617,235,2,"Epidemic intelligence, national daily data",2020-08-15
Andorra,AND,AD,76177,1,0,"Epidemic intelligence, national daily data",2020-06-05
Czechia,CZE,CZ,10649800,260,3,"Epidemic intelligence, national daily data",2020-03-26
Faroes,,,48865,0,0,"Epidemic intelligence, national daily data",2020-02-02
Germany,DEU,DE,83019213,213,11,"Epidemic intelligence, national daily data",2020-06-02
Germany,DEU,DE,83019213,3,0,"Epidemic intelligence, national daily data",2020-01-29
San Marino,SMR,SM,34453,36,0,"Epidemic intelligence, national daily data",2020-03-24
Greece,GRC,EL,10724599,9,0,"Epidemic intelligence, national daily data",2020-06-15
Liechtenstein,LIE,LI,38378,0,0,"Epidemic intelligence, national daily data",2020-01-30
Liechtenstein,LIE,LI,38378,5,0,"Epidemic intelligence, national daily data",2020-03-27
Belarus,BLR,BY,9449321,952,4,"Epidemic intelligence, national daily data",2020-05-14
Bulgaria,BGR,BG,7000039,11,0,"Epidemic intelligence, national daily data",2020-03-17
Bosnia and Herzegovina,BIH,BA,3280815,280,5,"Epidemic intelligence, national daily data",2020-10-02
Cyprus,CYP,CY,875899,6,0,"Epidemic intelligence, national daily data",2020-07-19
Czechia,CZE,CZ,10649800,2,0,"Epidemic intelligence, national daily data",2020-03-03
Malta,MLT,MT,493559,17,0,"Epidemic intelligence, national daily data",2020-03-23
Russia,RUS,RU,145934460,0,0,"Epidemic intelligence, national daily data",2020-03-02
Serbia,SRB,RS,6963764,173,1,"Epidemic intelligence, national daily data",2020-10-10
Slovakia,SVK,SK,5450421,0,0,"Epidemic intelligence, national daily data",2020-05-12
Germany,DEU,DE,83019213,1453,1,"Epidemic intelligence, national daily data",2020-09-04
Monaco,MCO,MC,33085,0,0,"Epidemic intelligence, national daily data",2020-01-04
Norway,NOR,NO,5328212,0,0,"Epidemic intelligence, national daily data",2020-01-12
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-02-18
Ukraine,UKR,UA,43733759,920,15,"Epidemic intelligence, national daily data",2020-07-27
Ireland,IRL,IE,4904240,61,0,"Epidemic intelligence, national daily data",2020-06-01
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-02-09
Norway,NOR,NO,5328212,132,1,"Epidemic intelligence, national daily data",2020-03-13
Slovenia,SVN,SI,2080908,43,0,"Epidemic intelligence, national daily data",2020-08-21
Cyprus,CYP,CY,875899,2,0,"Epidemic intelligence, national daily data",2020-06-28
Ukraine,UKR,UA,43733759,0,0,"Epidemic intelligence, national daily data",2020-01-24
Serbia,SRB,RS,6963764,0,0,"Epidemic intelligence, national daily data",2020-02-07
San Marino,SMR,SM,34453,0,0,"Epidemic intelligence, national daily data",2020-10-08
Germany,DEU,DE,83019213,18,0,"Epidemic intelligence, national daily data",2020-03-02
Belgium,BEL,BE,11455519,0,0,"Epidemic intelligence, national daily data",2020-02-10
Luxembourg,LUX,LU,613894,7,0,"Epidemic intelligence, national daily data",2020-05-29
Russia,RUS,RU,145934460,8779,174,"Epidemic intelligence, national daily data",2020-06-12
Czechia,CZE,CZ,10649800,0,0,"Epidemic intelligence, national daily data",2020-01-08
Serbia,SRB,RS,6963764,445,4,"Epidemic intelligence, national daily data",2020-04-17
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-07-10
Gibraltar,GIB,GI,33691,8,0,"Epidemic intelligence, national daily data",2020-06-01
Denmark,DNK,DK,5806081,115,0,"Epidemic intelligence, national daily data",2020-08-19
United Kingdom,GBR,UK,66647112,1125,60,"Epidemic intelligence, national daily data",2020-06-01
Germany,DEU,DE,83019213,0,0,"Epidemic intelligence, national daily data",2020-02-17
Liechtenstein,LIE,LI,38378,0,0,"Epidemic intelligence, national daily data",2020-06-07
Portugal,PRT,PT,10276617,2,0,"Epidemic intelligence, national daily data",2020-03-11
Estonia,EST,EE,1324820,43,0,"Epidemic intelligence, national daily data",2020-09-25
Armenia,ARM,AM,2963234,0,0,"Epidemic intelligence, national daily data",2020-01-05
Andorra,AND,AD,76177,4,0,"Epidemic intelligence, national daily data",2020-07-31
Faroes,,,48865,3,0,"Epidemic intelligence, national daily data",2020-10-21
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-05-15
Poland,POL,PL,37972812,0,0,"Epidemic intelligence, national daily data",2020-01-15
Bosnia and Herzegovina,BIH,BA,3280815,621,8,"Epidemic intelligence, national daily data",2020-10-17
Bulgaria,BGR,BG,7000039,0,0,"Epidemic intelligence, national daily data",2020-02-16
Spain,ESP,ES,46937060,0,0,"Epidemic intelligence, national daily data",2020-02-13
Liechtenstein,LIE,LI,38378,22,0,"Epidemic intelligence, national daily data",2020-10-16
Liechtenstein,LIE,LI,38378,0,0,"Epidemic intelligence, national daily data",2020-09-11
Sweden,SWE,SE,10230185,33,0,"Epidemic intelligence, national daily data",2020-03-08
Armenia,ARM,AM,2963234,596,7,"Epidemic intelligence, national daily data",2020-06-05
Iceland,ISL,IS,356991,0,0,"Epidemic intelligence, national daily data",2020-01-03
Croatia,HRV,HR,4076246,37,3,"Epidemic intelligence, national daily data",2020-04-16
Armenia,ARM,AM,2963234,239,3,"Epidemic intelligence, national daily data",2020-05-16
Russia,RUS,RU,145934460,4945,70,"Epidemic intelligence, national daily data",2020-08-12
Sweden,SWE,SE,10230185,1870,2,"Epidemic intelligence, national daily data",2020-10-24
Czechia,CZE,CZ,10649800,93,2,"Epidemic intelligence, national daily data",2020-06-26
Spain,ESP,ES,46937060,643,138,"Epidemic intelligence, national daily data",2020-05-15
Serbia,SRB,RS,6963764,15,0,"Epidemic intelligence, national daily data",2020-03-18
Malta,MLT,MT,493559,23,0,"Epidemic intelligence, national daily data",2020-10-01
Norway,NOR,NO,5328212,84,6,"Epidemic intelligence, national daily data",2020-04-20
San Marino,SMR,SM,34453,0,0,"Epidemic intelligence, national daily data",2020-01-08
Norway,NOR,NO,5328212,212,0,"Epidemic intelligence, national daily data",2020-03-12
Kosovo,,,1798506,13,0,"Epidemic intelligence, national daily data",2020-06-01
Spain,ESP,ES,46937060,0,0,"Epidemic intelligence, national daily data",2020-02-04
Jersey,JEY,JE,107796,0,0,"Epidemic intelligence, national daily data",2020-02-20
Finland,FIN,FI,5517919,0,0,"Epidemic intelligence, national daily data",2020-01-23
Montenegro,MNE,ME,622182,0,0,"Epidemic intelligence, national daily data",2020-02-23
Austria,AUT,AT,8858775,396,10,"Epidemic intelligence, national daily data",2020-04-04
Sweden,SWE,SE,10230185,0,0,"Epidemic intelligence, national daily data",2020-01-14
Russia,RUS,RU,145934460,10633,58,"Epidemic intelligence, national daily data",2020-05-04
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-09-26
Ukraine,UKR,UA,43733759,5133,118,"Epidemic intelligence, national daily data",2020-10-14
Sweden,SWE,SE,10230185,161,2,"Epidemic intelligence, national daily data",2020-10-12
Slovakia,SVK,SK,5450421,3,0,"Epidemic intelligence, national daily data",2020-07-20
Italy,ITA,IT,60359546,0,0,"Epidemic intelligence, national daily data",2020-01-26
Latvia,LVA,LV,1919968,137,0,"Epidemic intelligence, national daily data",2020-10-10
Austria,AUT,AT,8858775,3,0,"Epidemic intelligence, national daily data",2020-03-01
Luxembourg,LUX,LU,613894,0,0,"Epidemic intelligence, national daily data",2020-02-28
Poland,POL,PL,37972812,401,24,"Epidemic intelligence, national daily data",2020-05-16
Finland,FIN,FI,5517919,10,0,"Epidemic intelligence, national daily data",2020-07-24
Montenegro,MNE,ME,622182,187,1,"Epidemic intelligence, national daily data",2020-09-20
United Kingdom,GBR,UK,66647112,0,0,"Epidemic intelligence, national daily data",2020-02-25
Cyprus,CYP,CY,875899,0,0,"Epidemic intelligence, national daily data",2020-05-24
Andorra,AND,AD,76177,43,0,"Epidemic intelligence, national daily data",2020-09-12
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-01-06
France,FRA,FR,67012883,0,0,"Epidemic intelligence, national daily data",2020-02-04
Malta,MLT,MT,493559,0,0,"Epidemic intelligence, national daily data",2020-01-02
North Macedonia,MKD,MK,2077132,117,10,"Epidemic intelligence, national daily data",2020-07-21
Azerbaijan,AZE,AZ,10139175,528,2,"Epidemic intelligence, national daily data",2020-10-18
